epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.3614,1.40222,3.92691,1.70624,0.00486,0.94211,0.21637,0.11848,1.30426,3.10734,1.67762,0.00023375,0.00023375,0.00023375
2,47.8875,1.39187,3.18636,1.69729,0.29146,0.35383,0.29537,0.15736,1.54574,2.64188,1.94535,0.000462409,0.000462409,0.000462409
3,69.291,1.42237,2.81881,1.68075,0.29686,0.40561,0.39667,0.23058,1.54826,2.21515,1.9839,0.000681644,0.000681644,0.000681644
4,90.1662,1.40948,2.62048,1.67435,0.37522,0.4911,0.45831,0.21934,1.69942,2.64721,2.15253,0.000671588,0.000671588,0.000671588
5,111.753,1.42283,2.45364,1.66446,0.35807,0.52209,0.41384,0.19728,1.71837,2.14578,2.25202,0.000657451,0.000657451,0.000657451
6,133.422,1.41883,2.32588,1.66281,0.61468,0.49658,0.52934,0.28382,1.48863,2.10073,1.92702,0.000643314,0.000643314,0.000643314
7,154.617,1.40164,2.21589,1.63499,0.54689,0.55511,0.55857,0.29829,1.64835,2.13249,2.04467,0.000629177,0.000629177,0.000629177
8,176.684,1.36332,1.99747,1.59297,0.55219,0.65453,0.68928,0.37368,1.63507,2.04544,2.05112,0.00061504,0.00061504,0.00061504
9,198.557,1.32353,1.92112,1.56143,0.64274,0.56177,0.66233,0.35339,1.56753,1.83152,1.9731,0.000600902,0.000600902,0.000600902
10,218.815,1.31486,1.82548,1.53989,0.64908,0.61043,0.72625,0.41218,1.37768,1.63631,1.76596,0.000586765,0.000586765,0.000586765
11,241.051,1.3414,1.83299,1.56613,0.6913,0.64071,0.70826,0.40798,1.46229,1.80717,1.81026,0.000572628,0.000572628,0.000572628
12,263.102,1.29743,1.71421,1.54185,0.64798,0.72122,0.77409,0.43841,1.3924,1.54755,1.76448,0.000558491,0.000558491,0.000558491
13,284.974,1.2542,1.59987,1.4724,0.74745,0.64967,0.72141,0.41707,1.39841,1.58311,1.73086,0.000544354,0.000544354,0.000544354
14,306.747,1.25249,1.5821,1.47412,0.66642,0.75205,0.77381,0.44116,1.41634,1.56539,1.82309,0.000530216,0.000530216,0.000530216
15,329.66,1.25174,1.55272,1.47789,0.68226,0.75924,0.79956,0.42377,1.48312,1.4903,1.84914,0.000516079,0.000516079,0.000516079
16,351.88,1.20799,1.48721,1.46326,0.79328,0.7619,0.76408,0.47633,1.21298,1.47064,1.64237,0.000501942,0.000501942,0.000501942
17,373.941,1.20583,1.42067,1.45867,0.75058,0.74289,0.83392,0.47545,1.39593,1.32595,1.72337,0.000487805,0.000487805,0.000487805
18,396.108,1.22082,1.38681,1.43377,0.82468,0.74407,0.82558,0.55437,1.15356,1.20184,1.51002,0.000473668,0.000473668,0.000473668
19,418.281,1.18603,1.35995,1.41688,0.79702,0.80708,0.84253,0.54096,1.19278,1.23044,1.57332,0.00045953,0.00045953,0.00045953
20,440.843,1.17087,1.31675,1.40498,0.81949,0.84918,0.91137,0.58194,1.18867,1.07687,1.52558,0.000445393,0.000445393,0.000445393
21,463.49,1.15955,1.29716,1.40616,0.7187,0.76751,0.76578,0.40966,1.70237,1.47437,1.96885,0.000431256,0.000431256,0.000431256
22,485.755,1.16647,1.28164,1.42904,0.86357,0.78571,0.84684,0.56797,1.21364,1.09644,1.53532,0.000417119,0.000417119,0.000417119
23,508.185,1.12499,1.25343,1.38642,0.82301,0.78335,0.81799,0.54281,1.19164,1.19578,1.54057,0.000402982,0.000402982,0.000402982
24,530.578,1.09444,1.18307,1.3725,0.89083,0.75131,0.84856,0.52674,1.31264,1.17333,1.61635,0.000388844,0.000388844,0.000388844
25,552.979,1.09172,1.16252,1.35762,0.8634,0.7892,0.86103,0.60544,1.07037,1.05628,1.43434,0.000374707,0.000374707,0.000374707
26,575.392,1.10093,1.14451,1.37984,0.893,0.76379,0.82896,0.52965,1.2632,1.25091,1.56809,0.00036057,0.00036057,0.00036057
27,598.039,1.06741,1.10012,1.35084,0.86852,0.82643,0.86618,0.57282,1.15814,1.07336,1.52332,0.000346433,0.000346433,0.000346433
28,620.72,1.04497,1.04079,1.3265,0.86311,0.78573,0.87217,0.60328,1.06301,0.97678,1.44543,0.000332296,0.000332296,0.000332296
29,643.52,1.0504,1.06349,1.33643,0.88736,0.7934,0.84827,0.58428,1.09238,1.0672,1.47378,0.000318158,0.000318158,0.000318158
